№	Context	Dominant response	Number of completions	Ommitted completions or no completion	Number of unique responses	Alternative completions	Percentage of ending agreement %EA	H-statistic	Frequency (ipm)	Number of syllables
1	Отправитель наклеил на письмо	марку	168	4	7	марку 159, марки 4, почтовую марку 1, почтовые марки 1, две марки 1, штемпель 1, штамп 1	94.642857	0.423577	48.0	2
2	Кошки превосходно видят в	темноте	172	0	5	темноте 161, ночи 8, штанах 1, ночь 1, комнате 1	93.604651	0.424651	68.6	3
3	Перед сном бабушка выключила в комнате	свет	172	0	16	свет 137, телевизор 13, лампу 4, светильник 3, ночник 2, торшер 2, утюг 2, лампадку 1, музыку 1, темноту 1, радио 1, люстру 1, обогреватель 1, радиоприемник 1, приемник 1, электричество 1	79.651163	1.383875	359.7	1
4	Артисты поклонились и ушли за	кулисы	171	1	14	кулисы 133, сцену 14, занавес 11, пивом 2, ширму 2, кулису 1, актером 1, стол 1, рамки 1, дверь 1, кулисами 1, зановесь 1, навес 1, дом 1	77.777778	1.372769	15.0	3
5	Туристы спускались на байдарках по	реке	171	1	15	реке 140, горной реке 7, склону 5, речке 4, порогам 2, озеру 2, течению 2, Волге 2, Оке 1, сплаву 1, водопаду 1, каналу 1, течению реки 1, реке Волге 1, реке Кура 1	81.871345	1.304632	131.0	2
6	Проводник положил лимон и сахар в	чай	169	3	12	чай 81, стакан 62, чашку 10, кружку 5, кофе 3, стакан чая 2, чашечку 1, шкафу 1, стаканчик 1, стакан с чаем 1, столешницу 1, бокал 1	47.928994	1.872644	106.8	1
7	Гости положили грязные тарелки в	раковину	172	0	13	раковину 98, мойку 34, посудомойку 22, посудомоечную машину 6, шкаф 4, поднос 1, рукомойник 1, деньги 1, мусор 1, умывальник 1, машину 1, стопку 1, машину посудомоечную 1	56.976744	1.944680	13.9	4
8	Учитель написал пример мелом на	доске	171	1	4	доске 168, окне 1, плитке 1, потолке 1	98.245614	0.155225	67.1	2
9	После ужина хозяйка помыла	посуду	170	2	16	посуду 139, пол 7, тарелки 5, стол 4, кастрюлю 2, полы 2, окно 2, руки 1, раму 1, тарелку 1, ложку 1, ванную 1, цветы 1, окна 1, шторы 1, ребенка 1	81.764706	1.322368	31.3	3
10	В избе старуха топила	печь	171	1	8	печь 145, печку 18, баню 3, избу 1, лед 1, котят 1, масло 1, соседей 1	84.795322	0.862880	32.6	1
11	Моя маленькая сестрёнка увлекается лепкой из	глины	169	3	7	глины 89, пластилина 75, капусты 1, теста 1, песка 1, полимерной глины 1, пельменей 1	52.662722	1.226313	18.4	2
12	Войдя в квартиру, жилец плотно закрыл	дверь	172	0	12	дверь 147, окна 6, двери 4, ставни 3, окно 3, шторы 3, слив 1, рот 1, входную дверь 1, шторку 1, занавески 1, замок 1	85.465116	1.053438	450.8	1
13	На новый год мы всегда украшаем	елку	170	2	14	елку 138, дом 10, квартиру 5, комнату 4, ель 2, стол 2, елочку 2, двери 1, хату 1, игрушками 1, баню 1, дверь 1, зал 1, новогоднюю елку 1	81.176471	1.292889	22.3	2
14	Певица высушила волосы с помощью	фена	172	0	6	фена 163, полотенца 5, духовки 1, утюга 1, сушилки 1, ветра 1	94.767442	0.394565	2.0	2
15	Бегун завязал на ботинках 	шнурки	172	0	10	шнурки 153, шнурок 6, бантик 3, узел 3, шнурочки 2, банты 1, узлы 1, кроссовки 1, шнуровку 1, бантики 1	88.953488	0.813475	7.5	2
16	Помолившись, старушка осторожно задула	свечу	170	2	11	свечу 116, свечку 22, свечи 20, свечки 3, лампаду 3, лучину 1, свечь 1, свет 1, кадило 1, лампу 1, огонь 1	68.235294	1.588323	31.6	2
17	Все гости дружно уселись за	стол	172	0	6	стол 153, столом 14, столы 2, компьютер 1, круглым столом 1, обед 1	88.953488	0.649036	402.5	1
18	Бабушка купила таблетки от головной боли в	аптеке	167	5	8	аптеке 156, магазине 5, упаковке 1, каплях 1, лесу 1, 12 вечера 1, спине 1, пятницу 1	93.413174	0.508660	15.1	3
19	Девочка гуляла по лужам и промочила	ноги	172	0	17	ноги 124, ботинки 12, ножки 7, сапоги 5, носки 5, обувь 4, сандали 3, туфли 3, кроссовки 1, сандалии 1, сапожки 1, руки 1, шорты 1, вещи 1, босоножки 1, живот 1, колготки 1	72.093023	1.811611	459.2	2
